postal_code,lat,lon
01067,51.0601936,13.7111692
01099,51.0921825,13.8284928
01109,51.1223249,13.7562109
01129,51.0977701,13.7311437
01307,51.0526661,13.7693591
01342,,
01445,51.1157115,13.6365999
01454,51.1317073,13.9125613
01471,51.1850691,13.7302256
01477,51.0932588,13.9785042
01558,51.2900838,13.5250568
01589,51.289721,13.3167812
01591,51.3172315,13.248385
01640,51.1331059,13.5656911
01662,51.1615404,13.4838596
01705,50.9946012,13.6515834
01731,50.9517524,13.7458063
01744,50.860377,13.6280099
01796,50.9470409,13.9505572
01844,51.0324257,14.2241076
01855,50.9408018,14.26775
01877,51.120242,14.2173546
01896,51.1978308,14.0105253
01917,51.2858691,14.0902652
01968,51.5238377,14.0284911
01979,51.5050037,13.7292746
02625,51.1845835,14.4266284
02708,51.097409,14.6684189
02730,51.0081291,14.5975988
02763,50.8954859,14.8058502
02826,51.150024594,14.981082281
02827,51.1062889,14.955072
02828,51.1905311,14.9795715
02906,51.2851409,14.7349464
02929,51.3557714,14.9402016
02943,51.4185753,14.6247999
02977,51.4243429,14.2156452
03045,,
03048,51.7351178,14.3068954
03130,51.5794583,14.4046483
03149,51.7348528,14.5867524
03172,51.9356497,14.615166
03226,51.778218,14.0608289
03238,51.5958037,13.7362301
04103,51.3323103,12.387462
04105,51.3503712,12.3608334
04129,51.3704701,12.3902974
04177,51.3425514,12.330756
04209,51.3191054,12.2867793
04277,51.3018488,12.3646767
04289,51.2988171,12.4239119
04299,51.318209,12.4223261
04420,51.2926415,12.215412
04435,51.3971471,12.2217017
04442,51.2180587,12.3028481
04509,51.5159677,12.361533
04552,51.1206787,12.5047811
04600,50.9785195,12.4263238
04668,51.2345773,12.744609
04680,51.1365385,12.8069283
04703,51.1762336,12.936335
04720,51.1436418,13.1043378
04758,51.3423957,13.1425417
04779,51.2976999,12.9531284
04808,51.3843451,12.8065976
04828,51.3485643,12.6865509
04838,51.4808825,12.6365801
04849,51.6020249,12.6259185
04860,51.5588564,12.9347444
04910,51.4703605,13.5129469
04916,51.7419579,13.2429414
06110,51.4682399,11.9737343
06112,51.4698552,11.9991815
06114,51.5000301,11.9647989
06120,51.5086717,11.9079954
06124,51.4667644,11.9241315
06217,51.3406523,11.9665494
06268,51.3498561,11.5950773
06295,51.5072401,11.55222
06333,51.6450789,11.5015773
06366,51.7493656,11.9761249
06406,51.7825764,11.7556064
06449,51.7810358,11.4874926
06484,51.801804,11.1633253
06502,51.7491836,11.0630174
06526,51.5065226,11.2814547
06567,51.3621456,11.1566727
06618,51.1224479,11.8271521
06667,51.2158649,11.9292104
06712,51.0146876,12.1727257
06749,51.6246625,12.3178357
06776,47.7060659,10.3213204
06844,51.8504299,12.270401
06847,51.796245,12.1788142
06869,51.9407073,12.4544454
06886,51.8862056,12.5296639
07318,50.6023255,11.3017188
07338,50.581802,11.5208907
07381,50.6768557,11.6091296
07407,50.7517566,11.3648178
07548,50.8805946,12.0388013
07580,50.8438219,12.2042753
07607,50.9675077,11.895071
07639,50.9203056,11.8819331
07646,50.8479658,11.7313151
07747,50.8911124,11.6077113
07907,50.6017164,11.8307263
07973,50.641042,12.1631765
08060,50.7237041,12.447444
08107,50.6023137,12.5165158
